data,descricao,categoria,valor,tipo
2026-03-01,Salário,Mensal,5000,receita
2026-03-02,Freelance,Extra,1200,receita
2026-03-03,Aluguel,Moradia,1200,despesa
2026-03-04,Supermercado,Alimentação,850,despesa
2026-03-05,Internet,Bens,150,despesa
2026-03-06,Cursos,Educação,300,despesa
2026-03-07,Transporte,Moradia,200,despesa
2026-03-08,Lazer,Entretenimento,400,despesa
2026-03-09,Academia,Saúde,150,despesa
2026-03-10,Conta de luz,Moradia,180,despesa
2026-03-11,Conta de água,Moradia,120,despesa
2026-03-12,Assinaturas,Bens,80,despesa
2026-03-13,Restaurante,Alimentação,250,despesa
2026-03-14,Presentes,Extra,200,despesa
2026-03-15,Investimentos,Investimento,1000,despesa
